geneID	SCR1.1	SCR1.2	SCR2.1	SCR2.2	SCR3.1	SCR3.2	SCR4.1	SCR4.2	SCR5.1	SCR5.2	SiP1.1	SiP1.2	SiP2.1	SiP2.2	SiP3.1	SiP3.2	SiP4.1	SiP4.2	SiP5.1	SiP5.2
1700012B09Rik	3.8154740182411024	1.6597061954246763	3.181959881192257	1.0667249318277718	2.8095813989560567	1.2019499444499895	3.254500797871879	1.1963601943536715	3.7105259346728916	1.275411815439781	3.05551221701763	1.1395127431159568	3.3763056949092554	1.1055198572483156	1.190343516659189	3.348196617834357	3.1017422867360693	1.009697174167427	3.368526035164233	1.6593602772055596
2310015B20Rik	-5.238135543315253	-0.8358504205914419	-2.5779199975409544	1.2114326155815152	-0.6384685136907442	0.23114059619175795	-0.5751129786503187	0.13991601416327187	-5.390462556877854	1.0708492040078692	-1.3368080686687378	-0.3967794839361233	-2.123427618600377	1.3131751794224673	0.5621105435628031	-1.3512899793644009	-1.78334721541105	0.6221717590537088	-1.4410518763081503	1.2328162369540034
4930422G04Rik	3.9248474378913243	1.6874110803763225	4.391402740466375	3.2707869833595256	4.1181331674733235	3.2191150055286784	3.5774839522772446	-5.253525501507694	2.9544432626661794	2.3367172462320602	3.1967778838796286	2.7451884001980478	4.1617891112968675	-5.228816280776139	3.485572974364586	3.1016775272141155	3.9067238620306917	1.6054960067276252	4.307450883104446	1.2226527575232682
4930486L24Rik	-0.014582422069319144	3.468597562056875	-0.4287436358981352	4.69442841619815	0.1973662075320142	3.889837118935417	0.7724300592871723	4.044806710892146	-0.03583865719654933	4.28231236938156	0.11432141292419297	3.504387769290297	0.5130950967009362	4.7086891551578915	4.06564860374536	0.9646151369383227	0.42804000517675067	4.5291504438944505	0.3690151701920833	4.389856329671529
8430408G22Rik	2.191480725371609	5.6249132712505885	1.3869336272788837	4.821811400261002	0.2976046664727471	4.683452180083862	2.0309273619703174	4.996422006412532	1.530453709823057	4.549857277540892	1.9734868359720423	5.31170781681753	1.2037384861131926	5.015964536138379	4.961145580712026	1.5360649947909615	1.5152494476749623	4.9452512210315716	1.1782530172894852	4.916064547389797
Ace	0.09959344437832603	3.5309468534146973	-1.0797326311351239	4.205415181428113	-0.33685480642752014	3.8755984109142183	-0.2518808622816791	4.854905775213447	0.3970055763126089	3.9722297151233956	1.8592731259752757	5.474789112224516	1.9815155497133394	5.5225055928592	5.403879839183183	1.8427763734922378	1.8473809996053656	4.589223422815006	2.409738310576489	5.59399663764347
Ackr4	-5.238135543315253	-0.2753449857310222	-5.377809849485888	-5.204267868301881	-5.309929281761597	-5.280354135664134	-5.335441072259133	0.27800674887137605	-5.390462556877854	-1.7650331065256473	-5.217899309755417	0.3031753946897637	-5.271315690072758	0.647448685613273	0.7215105379540531	-5.25808446982124	-5.2414220529280895	0.4783664154900668	-1.8652416845918993	-5.245715604311968
Actn3	3.74809396931604	5.11363196740863	1.9365703610952407	7.184814529497787	3.8913296071417083	6.039007968859752	4.223805455183684	6.072548620667812	4.458682221788516	6.555055636733644	2.9523840618160433	4.936235961336514	2.6800777853005093	6.940693174105469	5.897631948713756	4.338397313235669	4.2707576157723635	6.594747241750871	4.146469461049961	6.58004657215139
Adh1	1.3271215919607355	3.312827742147828	-0.2673959694187716	6.583454073685027	1.350807718573432	3.8784785207928154	1.4384127816307835	3.9532426185877148	0.968143395375416	4.010315621010685	1.4226917568184254	3.301216675098402	1.698608791220456	5.704736515187102	4.679150857476485	2.3031910650449627	2.3811318180179812	4.696294231254968	2.602240612063917	5.227902154462953
Adm	0.6367467724018238	2.4568993976509876	-0.32873060859694747	2.909172761528846	0.6293358573783133	2.7067673948508397	0.5466162110873803	3.1295178515581976	-0.26116076494951523	2.517039884255525	0.3310958395581007	2.7969171254965106	0.01154927147995725	3.3104457272660293	2.9815696206401547	1.1452573748238797	0.8217193953317509	2.9872236496217415	-0.3100059007369935	3.117044383497753
